x,y,TOTAL_RAIN,COOLING_DEGREE_DAYS_FLAG,LOCAL_MONTH,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,DIRECTION_MAX_GUST,COOLING_DEGREE_DAYS,STATION_NAME,LOCAL_DAY,ID,TOTAL_PRECIPITATION,LOCAL_DATE,PROVINCE_CODE,SNOW_ON_GROUND_FLAG,MEAN_TEMPERATURE,MIN_TEMPERATURE,TOTAL_SNOW_FLAG,DIRECTION_MAX_GUST_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY_FLAG,LOCAL_YEAR,MEAN_TEMPERATURE_FLAG,SNOW_ON_GROUND,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN_FLAG,TOTAL_SNOW,MIN_REL_HUMIDITY,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,CLIMATE_IDENTIFIER,MAX_REL_HUMIDITY
-114.01333333333334,51.1225,0,,8,,,39,,18,0.8,CALGARY INTL A,18,3031092.2012.8.18,0,2012-08-18 00:00:00,AB,,18.8,9.5,,,0,,,2012,,,,,0,,28.1,,3031092,
-114.01333333333334,51.1225,0,,8,,,37,,34,0.8,CALGARY INTL A,19,3031092.2012.8.19,0,2012-08-19 00:00:00,AB,,18.8,9.5,,,0,,,2012,,,T,T,0,,28.1,,3031092,
-114.01333333333334,51.1225,0,,8,,,37,,36,2.4,CALGARY INTL A,20,3031092.2012.8.20,0,2012-08-20 00:00:00,AB,,20.4,11.4,,,0,,,2012,,,,,0,,29.4,,3031092,
-114.01333333333334,51.1225,0,,8,,,43,,21,1.7,CALGARY INTL A,21,3031092.2012.8.21,0,2012-08-21 00:00:00,AB,,19.7,13.2,,,0,,,2012,,,,,0,,26.1,,3031092,
-114.01333333333334,51.1225,0,,8,,,41,,32,0.7,CALGARY INTL A,22,3031092.2012.8.22,0,2012-08-22 00:00:00,AB,,18.7,12.2,,,0,,,2012,,,,,0,,25.1,,3031092,
-114.01333333333334,51.1225,0,,8,,,57,,34,0,CALGARY INTL A,23,3031092.2012.8.23,0,2012-08-23 00:00:00,AB,,17.2,8.2,,,0.8,,,2012,,,,,0,,26.1,,3031092,
-114.01333333333334,51.1225,13.2,,8,,,63,,33,0,CALGARY INTL A,24,3031092.2012.8.24,13.2,2012-08-24 00:00:00,AB,,11.7,7,,,6.3,,,2012,,,,,0,,16.4,,3031092,
-114.01333333333334,51.1225,0,,8,,,46,,34,0,CALGARY INTL A,25,3031092.2012.8.25,0,2012-08-25 00:00:00,AB,,13,5.8,,,5,,,2012,,,,,0,,20.1,,3031092,
-114.01333333333334,51.1225,0,,8,,,52,,17,0,CALGARY INTL A,26,3031092.2012.8.26,0,2012-08-26 00:00:00,AB,,14.6,5.4,,,3.4,,,2012,,,,,0,,23.8,,3031092,
-114.01333333333334,51.1225,0,,8,,,44,,20,0.7,CALGARY INTL A,27,3031092.2012.8.27,0,2012-08-27 00:00:00,AB,,18.7,7.5,,,0,,,2012,,,,,0,,29.8,,3031092,
