x,y,MAX_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,TOTAL_SNOW,PROVINCE_CODE,TOTAL_SNOW_FLAG,TOTAL_RAIN,DIRECTION_MAX_GUST_FLAG,LOCAL_YEAR,LOCAL_MONTH,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY_FLAG,LOCAL_DAY,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,COOLING_DEGREE_DAYS,MAX_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,ID,LOCAL_DATE,MEAN_TEMPERATURE,MIN_TEMPERATURE_FLAG,TOTAL_RAIN_FLAG,DIRECTION_MAX_GUST,TOTAL_PRECIPITATION,MAX_REL_HUMIDITY,HEATING_DEGREE_DAYS_FLAG,SPEED_MAX_GUST,CLIMATE_IDENTIFIER,SNOW_ON_GROUND_FLAG,SNOW_ON_GROUND,SPEED_MAX_GUST_FLAG,STATION_NAME,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS
-115.06666666666666,51.083333333333336,,36,,AB,,,,2021,5,,,23,,-3,0,16.7,M,3050778.2021.5.23,2021-05-23 00:00:00,6.8,,,24,,94,,41,3050778,,,,BOW VALLEY,,11.2
-115.06666666666666,51.083333333333336,,87,,AB,,,,2021,5,,,24,,4.1,0,9.7,M,3050778.2021.5.24,2021-05-24 00:00:00,6.9,,,,,94,,,3050778,,,,BOW VALLEY,,11.1
-115.06666666666666,51.083333333333336,,59,,AB,,,,2021,5,,,25,,3.4,0,11.7,M,3050778.2021.5.25,2021-05-25 00:00:00,7.5,,,,,95,,,3050778,,,,BOW VALLEY,,10.5
-115.06666666666666,51.083333333333336,,25,,AB,,,,2021,5,,,26,,2.4,0,19.4,M,3050778.2021.5.26,2021-05-26 00:00:00,10.9,,,27,,95,,33,3050778,,,,BOW VALLEY,,7.1
-115.06666666666666,51.083333333333336,,25,,AB,,,,2021,5,,,27,,6.4,0,19.7,M,3050778.2021.5.27,2021-05-27 00:00:00,13.1,,,28,,79,,55,3050778,,,,BOW VALLEY,,4.9
-115.06666666666666,51.083333333333336,,26,,AB,,,,2021,5,,,28,,4.5,0,15.1,M,3050778.2021.5.28,2021-05-28 00:00:00,9.8,,,24,,57,,50,3050778,,,,BOW VALLEY,,8.2
-115.06666666666666,51.083333333333336,,20,,AB,,,M,2021,5,,,29,,4.7,0,17.6,M,3050778.2021.5.29,2021-05-29 00:00:00,11.1,,,,,62,,,3050778,,,M,BOW VALLEY,,6.9
-115.06666666666666,51.083333333333336,,18,,AB,,,M,2021,5,,,30,,4,0,22.1,M,3050778.2021.5.30,2021-05-30 00:00:00,13.1,,,,,60,,,3050778,,,M,BOW VALLEY,,4.9
-115.06666666666666,51.083333333333336,,17,,AB,,,,2021,5,,,31,,10.8,0,24.7,M,3050778.2021.5.31,2021-05-31 00:00:00,17.7,,,26,,41,,34,3050778,,,,BOW VALLEY,,0.3
-115.06666666666666,51.083333333333336,,23,,AB,,,,2021,6,,,1,,11.5,1,26.5,M,3050778.2021.6.1,2021-06-01 00:00:00,19,,,26,,50,,59,3050778,,,,BOW VALLEY,,0
-115.06666666666666,51.083333333333336,,15,,AB,,,,2021,6,,,2,,11.2,2.1,29.1,M,3050778.2021.6.2,2021-06-02 00:00:00,20.1,,,25,,62,,38,3050778,,,,BOW VALLEY,,0
-115.06666666666666,51.083333333333336,,15,,AB,,,,2021,6,,,3,,10.9,2.1,29.4,M,3050778.2021.6.3,2021-06-03 00:00:00,20.1,,,24,,55,,41,3050778,,,,BOW VALLEY,,0
-115.06666666666666,51.083333333333336,,14,,AB,,,,2021,6,,,4,,12.8,1.1,25.4,M,3050778.2021.6.4,2021-06-04 00:00:00,19.1,,,26,,69,,45,3050778,,,,BOW VALLEY,,0
-115.06666666666666,51.083333333333336,,27,,AB,,,,2021,6,,,5,,3.2,0,19.4,M,3050778.2021.6.5,2021-06-05 00:00:00,11.3,,,27,,93,,53,3050778,,,,BOW VALLEY,,6.7
-115.06666666666666,51.083333333333336,,41,,AB,,,,2021,6,,,6,,3.6,0,13.8,M,3050778.2021.6.6,2021-06-06 00:00:00,8.7,,,25,,92,,33,3050778,,,,BOW VALLEY,,9.3
-115.06666666666666,51.083333333333336,,34,,AB,,,,2021,6,,,7,,0,0,13.1,M,3050778.2021.6.7,2021-06-07 00:00:00,6.6,,,30,,86,,46,3050778,,,,BOW VALLEY,,11.4
-115.06666666666666,51.083333333333336,,52,,AB,,,,2021,6,,,8,,-3.2,0,12.8,M,3050778.2021.6.8,2021-06-08 00:00:00,4.8,,,,,93,,,3050778,,,,BOW VALLEY,,13.2
