x,y,SNOW_ON_GROUND,LOCAL_DAY,MEAN_TEMPERATURE,COOLING_DEGREE_DAYS,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,ID,MEAN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS,TOTAL_PRECIPITATION,STATION_NAME,PROVINCE_CODE,LOCAL_YEAR,MAX_REL_HUMIDITY,DIRECTION_MAX_GUST,LOCAL_DATE,SPEED_MAX_GUST,TOTAL_SNOW_FLAG,SNOW_ON_GROUND_FLAG,TOTAL_SNOW,SPEED_MAX_GUST_FLAG,MIN_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_RAIN_FLAG,HEATING_DEGREE_DAYS_FLAG,DIRECTION_MAX_GUST_FLAG,TOTAL_PRECIPITATION_FLAG,CLIMATE_IDENTIFIER,LOCAL_MONTH,MAX_TEMPERATURE,MIN_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY_FLAG,TOTAL_RAIN
-113.60583583333333,53.306667222222224,49,10,-20.2,0,,,3012206.1999.2.10,,38.2,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-02-10 00:00:00,,,,,,-29.4,,,,,,3012206,2,-11,,,,
-113.60583583333333,53.306667222222224,49,11,-15.2,0,,,3012206.1999.2.11,,33.2,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-02-11 00:00:00,,,,,,-25.2,,,,,,3012206,2,-5.2,,,,
-113.60583583333333,53.306667222222224,52,12,-7,0,,,3012206.1999.2.12,,25,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-02-12 00:00:00,,,,,,-16.7,,,,,,3012206,2,2.7,,,,
-113.60583583333333,53.306667222222224,52,13,-3.7,0,,,3012206.1999.2.13,,21.7,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-02-13 00:00:00,,,,,,-13.7,,,,,,3012206,2,6.4,,,,
-113.60583583333333,53.306667222222224,52,14,-5.2,0,,,3012206.1999.2.14,,23.2,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-02-14 00:00:00,,,,,,-12.8,,,,,,3012206,2,2.5,,,,
-113.60583583333333,53.306667222222224,51,15,-10,0,,,3012206.1999.2.15,,28,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-02-15 00:00:00,,,,,,-19.6,,,,,,3012206,2,-0.4,,,,
-113.60583583333333,53.306667222222224,53,16,-7,0,,,3012206.1999.2.16,,25,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-02-16 00:00:00,,,,,,-8.2,,,,,,3012206,2,-5.7,,,,
-113.60583583333333,53.306667222222224,53,17,-6.2,0,,,3012206.1999.2.17,,24.2,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-02-17 00:00:00,,,,,,-7.9,,,,,,3012206,2,-4.5,,,,
-113.60583583333333,53.306667222222224,52,18,-8.8,0,,,3012206.1999.2.18,,26.8,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-02-18 00:00:00,,,,,,-14.9,,,,,,3012206,2,-2.7,,,,
-113.60583583333333,53.306667222222224,52,19,-10.8,0,,,3012206.1999.2.19,,28.8,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-02-19 00:00:00,,,,,,-17.9,,,,,,3012206,2,-3.6,,,,
